"created_at","0.0","-1.0","1.0"
2018-01-01,30,2,0
2018-01-02,160,4,0
2018-01-03,200,0,22
2018-01-04,90,4,6
2018-01-05,110,2,2
2018-01-06,34,0,2
2018-01-07,20,2,0
2018-01-08,378,4,0
2018-01-09,60,0,0
2018-01-10,100,0,0
2018-01-11,358,14,10
2018-01-12,158,2,18
2018-01-13,90,0,2
2018-01-14,36,0,0
2018-01-15,264,4,6
2018-01-16,246,12,4
2018-01-17,230,0,2
2018-01-18,562,8,2
2018-01-19,290,4,8
2018-01-20,54,4,2
2018-01-21,4,2,0
2018-01-22,120,4,10
2018-01-23,198,8,6
2018-01-24,154,12,4
2018-01-25,220,16,4
2018-01-26,142,8,4
2018-01-27,118,8,6
2018-01-28,94,42,50
2018-01-29,492,20,18
2018-01-30,426,26,36
2018-01-31,394,10,14
2018-02-01,174,4,8
2018-02-02,296,0,0
2018-02-03,114,10,12
2018-02-04,76,6,0
2018-02-05,30,4,0
2018-02-06,214,26,16
2018-02-07,146,6,0
2018-02-08,286,2,14
2018-02-09,398,24,36
2018-02-10,100,0,2
2018-02-11,40,2,0
2018-02-12,348,2,14
2018-02-13,314,16,14
2018-02-14,150,2,0
2018-02-15,178,2,12
2018-02-16,230,14,22
2018-02-17,242,4,0
2018-02-18,36,2,0
2018-02-19,540,26,8
2018-02-20,456,12,14
2018-02-21,208,16,10
2018-02-22,146,6,2
2018-02-23,244,2,2
2018-02-24,286,6,6
2018-02-25,32,0,0
2018-02-26,468,6,20
2018-02-27,238,0,6
2018-02-28,182,6,4
2018-03-01,116,32,2
2018-03-02,147,4,2
2018-03-03,62,0,0
2018-03-04,30,2,0
2018-03-05,410,8,4
2018-03-06,492,28,24
2018-03-07,318,20,18
2018-03-08,444,22,34
2018-03-09,524,6,36
2018-03-10,76,2,0
2018-03-11,28,2,0
2018-03-12,176,0,0
2018-03-13,212,12,6
2018-03-14,116,6,4
2018-03-15,286,2,2
2018-03-16,142,0,8
2018-03-17,70,0,0
2018-03-18,34,0,4
2018-03-19,66,0,10
2018-03-20,136,2,14
2018-03-21,250,4,4
2018-03-22,226,14,6
2018-03-23,268,10,14
2018-03-24,72,4,0
2018-03-25,60,0,0
2018-03-26,128,0,14
2018-03-27,190,58,4
2018-03-28,64,6,6
2018-03-29,102,0,16
2018-03-30,70,0,4
2018-03-31,78,8,10
2018-04-01,24,10,0
2018-04-02,48,6,0
2018-04-03,108,30,2
2018-04-04,176,6,6
2018-04-05,238,2,12
2018-04-06,194,2,2
2018-04-07,80,2,0
2018-04-08,372,0,8
2018-04-09,334,10,0
2018-04-10,432,12,30
2018-04-11,262,0,4
2018-04-12,406,10,4
2018-04-13,112,4,0
2018-04-14,84,0,6
2018-04-15,82,0,6
2018-04-16,142,8,0
2018-04-17,114,4,4
2018-04-18,224,2,6
2018-04-19,264,0,4
2018-04-20,26,0,0
