"nombre"	"tipo_centro"	"dir"	"horario"	"dias"	"lon"	"lat"	"tipo"	"entidades_que_apoya"	"entidad"
"Arquidiocesis Antequera Oaxaca"	"Religioso"	"Calle Macedonio Alcalá 801, RUTA INDEPENDENCIA, Centro, 68000 Oaxaca, Oax.
"	"10:00 - 14:00, 17:00 - 19:00"	""	-96.7233352	17.0690643	"Alimentos y agua, Higiene personal, Limpieza del hogar"	""	"Oaxaca"
"DIF Estatal - Gimnasio Flores Magón"	"Gobierno"	"Centro, 68000 Oaxaca"	""	""	-96.7253164	17.0637447	"Alimentos y agua, Higiene personal, Limpieza del hogar"	""	"Oaxaca"
"Cruz Roja Tuxtla"	"Cruz Roja"	"Av. 5A. Norte Poniente 1480, Covandonga, Tuxtla Gutiérrez, Chis., Mexico"	"9:00 - 19:00"	""	-93.1327293	16.7611035	"Alimentos y agua, Higiene personal, Limpieza del hogar, Otros"	"Chiapas"	"Chiapas"
"Tecnológico de Monterrey Chiapas"	"Académico"	"DAE y Plaza Prepa- Carretera Tapanatepec- Tuxtla Gutierrez Km 149+746, Juan Crispin, 29020 Tuxtla Gutiérrez, Chis."	""	""	-93.2008364	16.7650919	"Alimentos no perecederos, Higiene personal, Limpieza general."	""	"Chiapas"
"La Purísima Cocina Oaxaqueña"	"Ciudadano"	"Calle 25 Sur B 905, La Paz, 72160 Puebla, Pue."	""	""	-98.2197061	19.050877	"Alimentos y agua, Higiene personal, Limpieza del hogar, Cobijas"	"Istmo"	"Puebla"
"Zócalo de la Ciudad de Puebla"	"Gobierno"	"Juan de Palafox y Mendoza, Centro, 72000 Puebla, Pue."	"10:00 - 16:00"	""	-98.195645	19.0429188	""	""	"Puebla"
"UPAEP"	"Académico"	"Calle 21 Sur 1103, Barrio de Santiago, 72410 Puebla, Pue."	"L a S 9:00 - 20:00, D 10:00 - 14:00"	"Lunes a domingo"	-98.2160623	19.0480531	"Alimentos y agua, Higiene personal, Limpieza del hogar, Cobijas"	"Oaxaca"	"Puebla"
"DIF Metepec"	"Gobierno"	"Av Manuel J. Clouthier No.70, Izcalli Cuauhtemoc V, 52176 Metepec, Méx."	"8:00 - 16:00"	"Lunes a viernes"	-99.5963832	19.2695055	"No perecederos, Higiene Personal, Agua embotellada"	"Oaxaca, Chiapas"	"EdoMex"
"Explanada Norte, Estadio BBVA Bancomer"	"Ciudadano"	"Pablo Livas 2011, La Pastora, 67140 Guadalupe, N.L."	""	"A partir de las 17:00 del sábado 9 de septiembre"	-100.2445578	25.6679986	"Alimentos y agua, Higiene personal, Limpieza del hogar, Primeros auxilios, Medicamentos, Alimentos para bebé, Abrelatas, Bolsas de basura, Linternas y baterías"	"Oaxaca, Chiapas"	"NL"
"Oficinas DIF Nuevo León "	"Gobierno"	"Av. Morones Prieto 600 Ote., Col. Independencia, Monterrey, N.L."	"08:00 - 17:00"	""	-100.3250222	25.6641252	"Alimentos (agua no), Higiene personal, Limpieza del hogar, Cobijas, Colchonetas."	"Oaxaca, Chiapas"	"NL"
