"nombre"	"tipo_centro"	"dir"	"horario"	"dias"	"lon"	"lat"	"tipo"	"entidades_que_apoya"	"entidad"
"Superama"	NA	"AV. DE LOS BOSQUES 234 HUIXQUILUCAN DE DEGOLLADO CENTRO 52760"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2509811	19.4112606	NA	NA	"edomex"
"Superama"	NA	"Autopista M퀌�xico Qro. Km. 37.10  ARCOS DEL ALBA 54750"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1987109	19.6502794	NA	NA	"edomex"
"Superama"	NA	"AV. TOLUCA NO. 511 OLIVAR DE LOS PADRES 01780"	"07:00 - 23:00"	"Lunes a Domingo"	-99.220992	19.3382054	NA	NA	"DF"
"Superama"	NA	"CALZADA DE LAS AGUILAS NO 1819 MIGUEL HIDALGO 01620"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2293853	19.348636	NA	NA	"DF"
"Superama"	NA	"AV. CENTENARIO  MERCED GOMEZ 01600"	"07:00 - 23:00"	"Lunes a Domingo"	-99.21224	19.3664479	NA	NA	"DF"
"Superama"	NA	"CALZADA DE LOS LEONES NO. 242 LOS ALPES 01010"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1975933	19.3597888	NA	NA	"DF"
"Superama"	NA	"AV. DE LAS FUENTES 490 JARDINES DEL PEDREGAL 01900"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2063137	19.3251664	NA	NA	"DF"
"Superama"	NA	"AV. SAN JERONIMO 263 TIZAPAN 01090"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2078465	19.3322431	NA	NA	"DF"
"Superama"	NA	"CALZADA ACOXPA 436 EX HACIENDA COAPA 14340"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1306986	19.2947745	NA	NA	"DF"
"Superama"	NA	"CALLE UNION NO 3 LOMAS DEL PEDREGAL 14220"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2211682	19.3020166	NA	NA	"DF"
"Superama"	NA	"INSURGENTES SUR NO. 4120 TLALPAN CENTRO 14000"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1768778	19.2925152	NA	NA	"DF"
"Superama"	NA	"BLVD. PICACHO AJUSCO NO. 8 JARDINES EN LA MONTA퉌�A 14210"	"07:00 - 23:00"	"Lunes a Domingo"	-99.212585	19.2796273	NA	NA	"DF"
"Superama"	NA	"CALZ. DE TLALPAN 4467 TORIELLO GUERRA 14050"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1571419	19.2940277	NA	NA	"DF"
"Superama"	NA	"SIERRA VENTANA NO 750 LOMAS DE CHAPULTEPEC 11000"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2242742	19.4182705	NA	NA	"DF"
"Superama"	NA	"BOSQUES DE DURAZNOS NO 187 LOMAS DE CHAPULTEPEC 01170"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2412178	19.4050428	NA	NA	"DF"
"Superama"	NA	"AV. MIGUEL DE CERVANTES SAAVEDRA 380 GRANADA 11520"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2030052	19.4401781	NA	NA	"DF"
"Superama"	NA	"AV. HOMERO 310 GRANADA 11520"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1977705	19.4359736	NA	NA	"DF"
"Superama"	NA	"AV HORACIO No 603 CHAPULTEPEC MORALES 11570"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1970817	19.4344112	NA	NA	"DF"
"Superama"	NA	"HORACIO 1740 LOS MORALES 11510"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2095658	19.4350489	NA	NA	"DF"
"Superama"	NA	"LAGO ALBERTO No 320                                  GRANADA 11520"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1842055	19.4397527	NA	NA	"DF"
"Superama"	NA	"AGUILAR Y SEIJAS NO 123 MOLINO DEL REY 11040"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2054848	19.4223109	NA	NA	"DF"
"Superama"	NA	"AV CONTRERAS NO 386 SAN JERONIMO LIDICE 10200"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2168941	19.325896	NA	NA	"DF"
"Superama"	NA	"AV. TLAHUAC #4421 LOMAS ESTRELLA 1A SECCION 09880"	"07:00 - 23:00"	"Lunes a Domingo"	-99.0601316	19.3046479	NA	NA	"DF"
"Superama"	NA	"AV. RIO CHURUBUSCO NO. 583 SECTOR POPULAR 09060"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1254739	19.3685864	NA	NA	"DF"
"Superama"	NA	"AV. MONTEVIDEO 360 LINDAVISTA 07300"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1318636	19.4900981	NA	NA	"DF"
"Superama"	NA	"AV. MICHOACAN 38 HIPODROMO DE LA CONDESA 06170"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1739405	19.4114169	NA	NA	"DF"
"Superama"	NA	"PACHUCA 99 CONDESA 06140"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1780088	19.4146589	NA	NA	"DF"
"Superama"	NA	"RIO BALSAS 23 CUAUHTEMOC 06500"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1697144	19.4325452	NA	NA	"DF"
"Superama"	NA	"PASEO DE LILAS NO 92 BOSQUES DE LAS LOMAS 05120"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2483025	19.3892196	NA	NA	"DF"
"Superama"	NA	"AV TAMAULIPAS NO 3000 LA ROSITA 05340"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2805165	19.3609969	NA	NA	"DF"
"Superama"	NA	"NOCHE DE PAZ NO 38 GRANJAS NAVIDAD 05219"	"07:00 - 23:00"	"Lunes a Domingo"	-99.2786564	19.3732453	NA	NA	"DF"
"Superama"	NA	"CERRO DE LAS TORRES 229 CAMPESTRE CHURUBUSCO 04200"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1328077	19.3471119	NA	NA	"DF"
"Superama"	NA	"AV. COPILCO 75 COPILCO EL BAJO 04340"	"07:00 - 23:00"	"Lunes a Domingo"	-99.187438	19.3381345	NA	NA	"DF"
"Superama"	NA	"MIGUEL ANGEL DE QUEVEDO 870 COYOACAN CENTRO 04000"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1788844	19.3461598	NA	NA	"DF"
"Superama"	NA	"AV. DIVISION DEL NORTE 3651 PEDREGAL SANTA URSULA 04600"	"07:00 - 23:00"	"Lunes a Domingo"	-99.139063	19.320666	NA	NA	"DF"
"Superama"	NA	"RANCHO SAN LORENZO 6 LOS GIRASOLES 04920"	"07:00 - 23:00"	"Lunes a Domingo"	-99.124979	19.310724	NA	NA	"DF"
"Superama"	NA	"CALZADA TAXQUE����A #1752 COLONIA PASEOS DE TAXQUE����A TAXQUE����A 04280"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1281705	19.3390918	NA	NA	"DF"
"Superama"	NA	"PERIFERICO SUR 5270 EX EJIDO SANTA URSULA COAPA 04650"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1609885	19.3060533	NA	NA	"DF"
"Superama"	NA	"DAKOTA 78 NAPOLES 03810"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1766648	19.3921511	NA	NA	"DF"
"Superama"	NA	"HERIBERTO FRIAS 1107 DEL VALLE 03100"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1612807	19.3858029	NA	NA	"DF"
"Superama"	NA	"Boulevard Xola No. 407  Entre calles Av. Coyoa DEL VALLE NORTE 03103"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1668543	19.397067	NA	NA	"DF"
"Superama"	NA	"DIRECCION DEL VALLE 03100"	"07:00 - 23:00"	"Lunes a Domingo"	-66.9046113	10.4687323	NA	NA	"DF"
"Superama"	NA	"EJE FELIX CUEVAS NO. 374 TLACOQUEMECATL DEL VALLE 03200"	"07:00 - 23:00"	"Lunes a Domingo"	-99.172949	19.3727088	NA	NA	"DF"
"Superama"	NA	"GEORGIA 53 NAPOLES 03810"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1774378	19.3889205	NA	NA	"DF"
"Superama"	NA	"MAXIMINO AVILA CAMACHO 32 CIUDAD DE LOS DEPORTES 03710"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1786623	19.3844404	NA	NA	"DF"
"Superama"	NA	"MAYORAZGO 130 XOCO 03330"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1665222	19.3604785	NA	NA	"DF"
"Superama"	NA	"ROMERO DE TERREROS 1461 NARVARTE 03020"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1626242	19.3941064	NA	NA	"DF"
"Superama"	NA	"AV. POPOCATEPETL NO. 546 XOCO 03330"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1543385	19.3617876	NA	NA	"DF"
"Superama"	NA	"AV REVOLUCION NO 1151 MIXCOAC 03910"	"07:00 - 23:00"	"Lunes a Domingo"	-99.1881601	19.3721257	NA	NA	"DF"
"Superama"	NA	"AJUSCO 126 PORTALES 03300"	"07:00 - 23:00"	"Lunes a Domingo"	-99.148639	19.362125	NA	NA	"DF"
