"fecha","Institucion","Nombre","Tipo","Bytes","Version"
2014-07-05,"sct","Movimientos de bienes y personas en ZONA3_6_SEYBAPLAYA","text/csv"," 2,725,888 ",7
2014-07-05,"sct","Tarifas vigentes","text/csv"," 53,248 ",7
2014-07-05,"sct","UbicaciÃ³n y generales de casetas de cobro","text/csv"," 71,680 ",7
2014-07-05,"sct","Fletes Internacionales","text/csv"," 40,960 ",7
2014-07-05,"sct","Fletes nacionales","text/csv"," 30,720 ",7
2014-07-05,"sct","Registros internacionales","text/csv"," 30,720 ",7
2014-07-05,"sct","Registros nacionales","text/csv"," 30,720 ",7
2014-07-05,"sct","Licencias ferroviarias","text/csv"," 1,130,496 ",7
2014-07-05,"sct","Capacidades por tipo de licencia ferroviaria","text/csv"," 1,925,120 ",7
2014-07-05,"sct","Empresas ferroviarias y personal","text/csv"," 541,696 ",7
2014-07-05,"sct","Solicitudes de licencias ferroviarias","text/csv"," 552,960 ",7
2014-07-05,"sct","Licencias de autotransporte","text/csv"," 30,409,728 ",7
2014-07-05,"sct","Medicina Preventiva en el autotransporte","text/csv"," 3,980,288 ",7
2014-07-05,"sct","Flota activa de autotransporte","text/csv"," 77,971,456 ",7
2014-07-05,"sct","TrÃ¡mites del Servicio PÃºblico Federal","text/csv"," 9,631,744 ",7
2014-07-05,"sct","EstadÃ­sticas de operaciones de puertos","text/csv"," 30,409,728 ",7
2014-07-05,"sct","Flota activa de embarcaciones completa","text/csv"," 2,048 ",7
2014-07-05,"sct","Flota activa de embarcaciones menores a 100 esloras","text/csv"," 2,048 ",7
2014-07-05,"sct","Avances en TelevisiÃ³n Digital Terrestre","text/csv"," 161,792 ",7
2014-07-05,"sct","MÃ©xico conectado","text/csv"," 5,428,224 ",7
2014-07-08,"sagarpa","INDICE DE VOLUMEN FISICO AGRICOLA ESTATAL - CULTIVO 2013","csv","184,000",20
2014-07-08,"sagarpa","INDICE DE VOLUMEN FISICO AGRICOLA ESTATAL - CULTIVO 2014","csv","88,000",20
2014-07-08,"sagarpa","INDICE DE VOLUMEN FISICO AGRICOLA NACIONAL - CULTIVO 2013","csv","6,000",20
2014-07-08,"sagarpa","INDICE DE VOLUMEN FISICO AGRICOLA NACIONAL - CULTIVO 2014","csv","3,000",20
2014-07-08,"sagarpa","INDICE DE VOLUMEN FISICO AGRICOLA NACIONAL Y ESTATAL 2013","csv","3,000",20
2014-07-08,"sagarpa","INDICE DE VOLUMEN FISICO AGRICOLA NACIONAL Y ESTATAL 2014","csv","2,000",20
2014-07-08,"sagarpa","INDICE DE VOLUMEN FISICO AGROPECUARIO NACIONAL Y ESTATAL 2013","csv","4,000",20
2014-07-08,"sagarpa","INDICE DE VOLUMEN FISICO AGROPECUARIO NACIONAL Y ESTATAL 2014","csv","2,000",20
2014-07-08,"sagarpa","INDICE DE VOLUMEN FISICO PECUARIO ESTATAL â€“ PRODUCTO 2013","csv","40,000",20
2014-07-08,"sagarpa","INDICE DE VOLUMEN FISICO PECUARIO ESTATAL â€“ PRODUCTO 2014","csv","19,000",20
2014-07-08,"sagarpa","INDICE DE VOLUMEN FISICO PECUARIO NACIONAL Y ESTATAL 2013","csv","3,000",20
2014-07-08,"sagarpa","INDICE DE VOLUMEN FISICO PECUARIO NACIONAL Y ESTATAL 2014","csv","2,000",20
2014-07-08,"sagarpa","INDICE DE VOLUMEN FISICO PECUARIO NACIONAL - PRODUCTO 2013","csv","2,000",20
2014-07-08,"sagarpa","INDICE DE VOLUMEN FISICO PECUARIO NACIONAL - PRODUCTO 2014","csv","1,000",20
2014-07-08,"sagarpa","Delegaciones de la SAGARPA","kmz","10,138,000",20
2014-07-08,"sagarpa","Distritos de Desarrollo Rural (DDR) de la SAGARPA","kmz","19,458,000",20
2014-07-08,"sagarpa","Centros de Apoyo al Desarrollo Rural (Cader) de la SAGARPA","kmz","32,804,000",20
2014-07-08,"sagarpa","UbicaciÃ³n de las Delegaciones de la SAGARPA","kmz","8,000",20
